,Compound_Name,assay_standard_value,assay_standard_units,assay_standard_type,assay_pchembl_value,target_organism,assay_chembl_id,InChIKey,Smiles,molecule_chembl_id,natural_product
10,QUINACRINE,30000.0,nM,IC50,4.52,Plasmodium yoelii yoelii,CHEMBL1262114,GPKJTRJOBQGKQK-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CHEMBL7568,1
11,FENBENDAZOLE,30000.0,nM,IC50,4.52,Plasmodium yoelii yoelii,CHEMBL1262114,HDDSHPAODJUKPD-UHFFFAOYSA-N,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,CHEMBL37161,1
12,NORDIHYDROGUAIARETIC ACID,30000.0,nM,IC50,4.52,Plasmodium yoelii yoelii,CHEMBL1262114,HCZKYJDFEPMADG-UHFFFAOYSA-N,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,CHEMBL52,1
13,VINBLASTINE,7950.0,nM,IC50,5.10,Plasmodium yoelii yoelii,CHEMBL1262114,JXLYSJRDGCGARV-CFWMRBGOSA-N,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL159,1
14,INDINAVIR,5000.0,nM,IC50,5.30,Plasmodium yoelii yoelii,CHEMBL1262114,CBVCZFGXHXORBI-PXQQMZJSSA-N,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL115,1
15,EPOXOMYCIN,3950.0,nM,IC50,5.40,Plasmodium yoelii yoelii,CHEMBL1262114,DOGIDQKFVLKMLQ-JTHVHQAWSA-N,CC[C@H](C)[C@H](NC(=O)[C@H]([C@@H](C)CC)N(C)C(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1)[C@@H](C)O,CHEMBL207990,1
16,SAQUINAVIR,35.2,nM,IC50,7.45,Plasmodium yoelii yoelii,CHEMBL1262114,QWAXKHKRTORLEM-UGJKXSETSA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,CHEMBL114,1
17,RITONAVIR,34.2,nM,IC50,7.47,Plasmodium yoelii yoelii,CHEMBL1262114,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CHEMBL163,1
18,DOBUTAMINE,3.7,nM,IC50,8.43,Plasmodium yoelii yoelii,CHEMBL1262114,JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,CHEMBL926,1
19,MICONAZOLE,2.03,nM,IC50,8.69,Plasmodium yoelii yoelii,CHEMBL1262114,BYBLEWFAAKGYCD-UHFFFAOYSA-N,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,CHEMBL91,1
20,LICOAGROCHACONE A,0.927,nM,IC50,9.03,Plasmodium yoelii yoelii,CHEMBL1262114,KAZSKMJFUPEHHW-DHZHZOJOSA-N,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,0
21,MIBEFRADIL,0.873,nM,IC50,9.06,Plasmodium yoelii yoelii,CHEMBL1262114,HBNPJJILLOYFJU-VMPREFPWSA-N,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,CHEMBL45816,1
22,DELAVIRDINE,0.846,nM,IC50,9.07,Plasmodium yoelii yoelii,CHEMBL1262114,WHBIGIKBNXZKFE-UHFFFAOYSA-N,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,CHEMBL593,1
23,DELAVIRDINE,0.846,nM,IC50,9.07,Plasmodium yoelii yoelii,CHEMBL2090728,WHBIGIKBNXZKFE-UHFFFAOYSA-N,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,CHEMBL593,1
24,MIBEFRADIL,0.873,nM,IC50,9.06,Plasmodium yoelii yoelii,CHEMBL2090728,HBNPJJILLOYFJU-VMPREFPWSA-N,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,CHEMBL45816,1
25,DOBUTAMINE,3.7,nM,IC50,8.43,Plasmodium yoelii yoelii,CHEMBL2090728,JRWZLRBJNMZMFE-UHFFFAOYSA-N,CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,CHEMBL926,1
26,,9200.0,nM,IC50,5.04,Plasmodium yoelii yoelii,CHEMBL2090734,MURPPGXCDPPSCN-RWFQXQMHSA-N,NCCCCN(CCCN)C(=O)CCCCCCCCCCCOCc1ccc2c(c1)[C@@H]1C[C@]3(CCCCO3)NC3=N[C@]4(CCCCO4)C[C@H]2N31,CHEMBL2089376,0
27,RIMANTADINE,35.6,nM,IC50,7.45,Plasmodium yoelii yoelii,CHEMBL2090728,UBCHPRBFMUDMNC-UHFFFAOYSA-N,CC(N)C12CC3CC(CC(C3)C1)C2,CHEMBL959,1
28,EPOXOMYCIN,3950.0,nM,IC50,5.40,Plasmodium yoelii yoelii,CHEMBL2090728,DOGIDQKFVLKMLQ-JTHVHQAWSA-N,CC[C@H](C)[C@H](NC(=O)[C@H]([C@@H](C)CC)N(C)C(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1)[C@@H](C)O,CHEMBL207990,1
29,VINBLASTINE,7950.0,nM,IC50,5.10,Plasmodium yoelii yoelii,CHEMBL2090728,JXLYSJRDGCGARV-CFWMRBGOSA-N,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL159,1
30,GREPAFLOXACIN,10000.0,nM,IC50,5.00,Plasmodium yoelii yoelii,CHEMBL2090747,AIJTTZAVMXIJGM-UHFFFAOYSA-N,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CHEMBL583,0
31,LICOAGROCHACONE A,0.927,nM,IC50,9.03,Plasmodium yoelii yoelii,CHEMBL2090728,KAZSKMJFUPEHHW-DHZHZOJOSA-N,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,0
32,PRIMAQUINE,75.7,nM,IC50,7.12,Plasmodium yoelii yoelii,CHEMBL2090728,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
33,,7.9,nM,IC50,8.10,Plasmodium falciparum FcB1/Columbia,CHEMBL767357,NJVDETRDEAELLF-UHFFFAOYSA-N,Clc1ccc2c(NCCCN3CCN(CCCN(CC4CC4)CC4CC4)CC3)ccnc2c1,CHEMBL153507,0
34,,12600.0,nM,IC50,4.90,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,GWIZKLXYYFBPKR-UHFFFAOYSA-N,CC1=C(CCCCCC(=O)OCCN(C)C)C(=O)c2ccccc2C1=O,CHEMBL188093,0
35,"2-(N,Ndimethylaminomethyl)ferrocenyl-methanol derivative",1000.0,nM,IC50,6.00,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,,,CHEMBL191449,0
36,,1800.0,nM,IC50,5.75,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,ATLLVBQTNLDUFC-UHFFFAOYSA-N,CC1=C(CCCC(=O)NCCC#N)C(=O)c2ccccc2C1=O,CHEMBL188101,0
37,,1500.0,nM,IC50,5.82,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,TUTOGQXXTPQLAF-UHFFFAOYSA-N,CC1=C(CCCCC(=O)NCCC#N)C(=O)c2ccccc2C1=O,CHEMBL190592,0
38,,1000.0,nM,IC50,6.00,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,JWFABDXKUDSHHO-UHFFFAOYSA-N,CC1=C(CCCCCC(=O)NCCC#N)C(=O)c2ccccc2C1=O,CHEMBL190212,0
39,,2200.0,nM,IC50,5.66,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,WSEUXBNQRSSHJB-UHFFFAOYSA-N,CC1=C(CCCC(=O)O)C(=O)c2ccccc2C1=O,CHEMBL345932,0
40,,4000.0,nM,IC50,5.40,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,JXMRBOOZUWPZPG-UHFFFAOYSA-N,CC1=C(CCCCC(=O)O)C(=O)c2ccccc2C1=O,CHEMBL134615,0
41,,3500.0,nM,IC50,5.46,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,ICGRXHWXPCXIKM-UHFFFAOYSA-N,CC1=C(CCCCCC(=O)O)C(=O)c2ccccc2C1=O,CHEMBL135287,0
42,,900.0,nM,IC50,6.05,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,LGYOUVDSKCYMQT-UHFFFAOYSA-N,CC1=C(CCCc2nnnn2CCC#N)C(=O)c2ccccc2C1=O,CHEMBL362894,0
43,,1400.0,nM,IC50,5.85,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,YPNNFMWQOGXFLX-UHFFFAOYSA-N,CC1=C(CCCCc2nnnn2CCC#N)C(=O)c2ccccc2C1=O,CHEMBL187788,0
44,,1100.0,nM,IC50,5.96,Plasmodium falciparum FcB1/Columbia,CHEMBL833255,KUFOYDRENPUMPX-UHFFFAOYSA-N,CC1=C(CCCCCc2nnnn2CCC#N)C(=O)c2ccccc2C1=O,CHEMBL365139,0
45,CHLOROQUINE,105.3,nM,IC50,6.98,Plasmodium falciparum FcB1/Columbia,CHEMBL991716,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
46,,4840.0,nM,IC50,5.32,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,OWXSHCOTHPTTCL-UHFFFAOYSA-N,COc1cc2cccnc2c2nc(C)c(CCCl)c(Cl)c12,CHEMBL503597,0
47,PRIMAQUINE,6870.0,nM,IC50,5.16,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,INDBQLZJXZLFIT-UHFFFAOYSA-N,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL506,1
48,,930.0,nM,IC50,6.03,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,OORCXOKZLVUYTL-UHFFFAOYSA-N,COc1cc2cccnc2c2nc(C)c3ccoc3c12,CHEMBL448801,0
49,,970.0,nM,IC50,6.01,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,ZMRRKICFFXQQHB-UHFFFAOYSA-N,Cc1nc2c(ccc3cccnc32)c2occc12,CHEMBL497684,0
50,,1140.0,nM,IC50,5.94,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,SGNHITZALPVCOY-UHFFFAOYSA-N,Cc1nc2c(ccc3cccnc32)c2[nH]ccc12,CHEMBL497514,0
51,,220.0,nM,IC50,6.66,Plasmodium falciparum FcB1/Columbia,CHEMBL1004791,TXAWJOBFXRMHPM-UHFFFAOYSA-N,COc1cc2cccnc2c2nc(C)c3cc[nH]c3c12,CHEMBL497513,0
52,AGELASINE J,6600.0,nM,IC50,5.18,Plasmodium falciparum FcB1/Columbia,CHEMBL991853,BHVKDCNXMWGWEZ-FJQMCSPPSA-M,C/C(=C\Cn1c[n+](C)c2ncnc(N)c21)CC[C@]1(C)C2=C(CC[C@H]1C)C(C)(C)CCC2.[Cl-],CHEMBL476098,0
53,AGELASINE L,18000.0,nM,IC50,4.75,Plasmodium falciparum FcB1/Columbia,CHEMBL991853,IOYPCCZEOILFQK-OQDDCSNASA-M,C/C(=C\Cn1c[n+](C)c2ncnc(N)c21)CC[C@]1(C)C2=CCC[C@@H](C)[C@]2(C)CC[C@H]1C.[Cl-],CHEMBL515777,0
54,AGELASINE K,8300.0,nM,IC50,5.08,Plasmodium falciparum FcB1/Columbia,CHEMBL991853,NYUONCLCDKKMEH-FFMPZKDESA-M,C/C(=C\Cn1c[n+](C)c2ncnc(N)c21)CC[C@]1(C)[C@H]2CC=C[C@@H](C)[C@]2(C)CC[C@H]1C.[Cl-],CHEMBL476305,0
55,CHLOROQUINE,145.0,nM,IC50,6.84,Plasmodium falciparum FcB1/Columbia,CHEMBL991853,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
56,,215.9,nM,IC50,6.67,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,XOQQNLADSWFUQE-UHFFFAOYSA-N,O=C(NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)C1CCCCC1,CHEMBL152884,0
57,,289.2,nM,IC50,6.54,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,SPLMIOWCRJGDJI-UHFFFAOYSA-N,O=C(NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)C1CC1,CHEMBL152862,0
58,,34.7,nM,IC50,7.46,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,TYMKTFOLEXMUMQ-UHFFFAOYSA-N,CCCCCCC(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL346687,0
59,,73.4,nM,IC50,7.13,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,UADGWMNUOFMALR-UHFFFAOYSA-N,CCCC(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152635,0
60,,276.7,nM,IC50,6.56,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,SVMPLHVKZDJKTF-UHFFFAOYSA-N,CCC(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152845,0
61,,396.0,nM,IC50,6.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,JCKSZKYQNYTZKL-UHFFFAOYSA-N,CC(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152875,0
62,,163.2,nM,IC50,6.79,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,SCGFBQVQYYMKJQ-UHFFFAOYSA-N,CC(C)(C)C(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152883,0
63,,149.0,nM,IC50,6.83,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,XQPWWOINAVICDQ-UHFFFAOYSA-N,CC(C)C(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152793,0
64,,43.0,nM,IC50,7.37,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,UXGGOTXAZVUPLC-UHFFFAOYSA-N,Clc1ccc2c(NCCCN3CCN(CCCNCC4CCCCC4)CC3)ccnc2c1,CHEMBL152570,0
65,,10.2,nM,IC50,7.99,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,ZQXLIQFZQAOZAI-UHFFFAOYSA-N,Clc1ccc2c(NCCCN3CCN(CCCNCC4CC4)CC3)ccnc2c1,CHEMBL357948,0
66,,9.5,nM,IC50,8.02,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,PXFWCGNWAXZVFY-UHFFFAOYSA-N,CCCCCCCNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL551476,0
67,,24.8,nM,IC50,7.61,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,YECPQDIJDOJYFH-UHFFFAOYSA-N,CCCCNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL356249,0
68,,36.1,nM,IC50,7.44,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,CSGNJJPECMCVPC-UHFFFAOYSA-N,CCCNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL153249,0
69,,58.0,nM,IC50,7.24,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,DPANAKKCKYNGAY-UHFFFAOYSA-N,CCNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL150702,0
70,,9.7,nM,IC50,8.01,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,GDQGTMDWRHVJEK-UHFFFAOYSA-N,CC(C)(C)CNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL422502,0
71,,18.8,nM,IC50,7.73,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,AZDURTUUIQUVHD-UHFFFAOYSA-N,CC(C)CNCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL150355,0
72,,16.0,nM,IC50,7.80,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,FBDDPYOHKWRBDJ-UHFFFAOYSA-N,Clc1ccc2c(NCCCN3CCN(CCCN(CC4CCCCC4)CC4CCCCC4)CC3)ccnc2c1,CHEMBL152882,0
73,,8.8,nM,IC50,8.06,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,NJVDETRDEAELLF-UHFFFAOYSA-N,Clc1ccc2c(NCCCN3CCN(CCCN(CC4CC4)CC4CC4)CC3)ccnc2c1,CHEMBL153507,0
74,,37.8,nM,IC50,7.42,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,VCWKVINQNPCMNX-UHFFFAOYSA-N,CCCCCCCN(CCCCCCC)CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL355935,0
75,,7.5,nM,IC50,8.12,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,FVWVRVNTEAFOPI-UHFFFAOYSA-N,CCCCN(CCCC)CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL356811,0
76,,2.2,nM,IC50,8.66,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,SZGHIAIVDAQRBI-UHFFFAOYSA-N,CCCN(CCC)CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL153755,0
77,,5.0,nM,IC50,8.30,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,IVZSERUTTOATIO-UHFFFAOYSA-N,CCN(CC)CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,CHEMBL152620,0
78,,0.9,nM,IC50,9.05,Plasmodium falciparum FcB1/Columbia,CHEMBL1056033,RTSKTPQYRVOCCD-UHFFFAOYSA-N,CC(C)CN(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC(C)C,CHEMBL124723,0
79,,889.0,nM,IC50,6.05,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WXFLHMJSSLDOPA-UHFFFAOYSA-N,O=C1C(c2ccccc2)=[N+]([O-])c2ccccc21,CHEMBL567967,0
80,,120.0,nM,IC50,6.92,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,IBWQOWGDHNPKGF-UHFFFAOYSA-N,O=C1C(c2ccc(F)cc2)=[N+]([O-])c2ccccc21,CHEMBL576248,0
81,,1710.0,nM,IC50,5.77,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,HGDZIUAHHKLGFQ-UHFFFAOYSA-N,O=C1C(c2ccc(F)cc2)=[N+]([O-])c2cc3c(cc21)OCO3,CHEMBL576251,0
82,,130.0,nM,IC50,6.89,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JLKQTDLZMOBJIY-UHFFFAOYSA-N,O=C1C(c2ccsc2)=[N+]([O-])c2cc(Cl)ccc21,CHEMBL577941,0
83,,56.0,nM,IC50,7.25,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XSOMQBLCXSTNTI-UHFFFAOYSA-N,O=C1C(c2ccc([N+](=O)[O-])cc2)=[N+]([O-])c2ccccc21,CHEMBL576034,0
84,,665.0,nM,IC50,6.18,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,HZEFVDJGXNMOLU-UHFFFAOYSA-N,O=C1C(c2ccc(Oc3ccccc3)cc2)=[N+]([O-])c2cc(OCc3ccccc3)ccc21,CHEMBL567760,0
85,,730.0,nM,IC50,6.14,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,GINUEUMWYNBHOD-UHFFFAOYSA-N,COc1ccc2cc(C3=[N+]([O-])c4cc(OCc5ccccc5)ccc4C3=O)ccc2c1,CHEMBL568424,0
86,,1045.0,nM,IC50,5.98,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,IMYYOEQBWJQEAO-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)c(C(F)(F)F)c2)=[N+]([O-])c2ccccc21,CHEMBL568425,0
87,,2750.0,nM,IC50,5.56,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,RYMVALDDVZBMDF-UHFFFAOYSA-N,CCc1ccc(C2=[N+]([O-])c3ccccc3C2=O)cc1,CHEMBL576421,0
88,,1170.0,nM,IC50,5.93,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,CRMTVVZKYASKKD-UHFFFAOYSA-N,O=C1C(c2ccc(C(F)(F)F)cc2)=[N+]([O-])c2ccccc21,CHEMBL565869,0
89,,1890.0,nM,IC50,5.72,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,IKSZKMFNGWQMHC-UHFFFAOYSA-N,COc1cc2c(cc1OC)[N+]([O-])=C(c1ccccc1)C2=O,CHEMBL577939,0
90,,12720.0,nM,IC50,4.90,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,YXKZMCNSRULCJN-UHFFFAOYSA-N,O=C1C(c2ccccc2)=[N+]([O-])c2cc3c(cc21)OCO3,CHEMBL567968,0
91,,272.0,nM,IC50,6.57,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XOMOLSDIXFIBAL-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)cc2)=[N+]([O-])c2ccccc21,CHEMBL576249,0
92,CHLOROQUINE,151.0,nM,IC50,6.82,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,1
93,SODIUM ARESUNATE,6.0,nM,IC50,8.22,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,ZISJLHQNEVGTIU-RFEYTNPVSA-M,C[C@H]1[C@H](OC(=O)CCC(=O)[O-])O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3.[Na+],CHEMBL207675,0
94,,75.0,nM,IC50,7.12,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,NUWYERFBSACXKE-UHFFFAOYSA-N,O=C1C(c2ccc(Cl)cc2)=[N+]([O-])c2cc3c(cc21)OCO3,CHEMBL579223,0
95,,264.0,nM,IC50,6.58,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,PLKZRNKMZGYLER-UHFFFAOYSA-N,O=C1C(c2ccc(Oc3ccccc3)cc2)=[N+]([O-])c2ccccc21,CHEMBL1163014,0
96,,3950.0,nM,IC50,5.40,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,MYBPORWQRKNLDG-UHFFFAOYSA-N,O=C1C(c2ccc(CO)cc2)=[N+]([O-])c2ccccc21,CHEMBL567556,0
97,,195.0,nM,IC50,6.71,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,ZPCJCVQIWZJBSH-UHFFFAOYSA-N,COc1ccc(C2=[N+]([O-])c3ccccc3C2=O)cc1,CHEMBL581422,0
98,,560.0,nM,IC50,6.25,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,JNSHUCYGOPGUDH-UHFFFAOYSA-N,COc1ccc2cc(C3=[N+]([O-])c4ccccc4C3=O)cc(OC)c2c1,CHEMBL568179,0
99,,288.0,nM,IC50,6.54,Plasmodium falciparum FcB1/Columbia,CHEMBL1047861,XACBPIOITYIPPA-UHFFFAOYSA-N,COc1ccc2cc(C3=[N+]([O-])c4cc5c(cc4C3=O)OCO5)cc(OC)c2c1,CHEMBL585890,0
